ko,gene
ko05012,evm.model.tig082700031386.7
ko04714,evm.model.tig082700031386.7
ko05016,evm.model.tig082700031386.7
ko05415,evm.model.tig082700031386.7
ko05020,evm.model.tig082700031386.7
ko00190,evm.model.tig082700000134.117
ko00720,evm.model.tig082700000134.117
ko00020,evm.model.tig082700000134.117
ko01100,evm.model.tig082700000134.117
ko01200,evm.model.tig082700000134.117
ko00650,evm.model.tig082700000134.117
ko01120,evm.model.tig082700000134.117
ko01110,evm.model.tig082700000134.117
ko01212,evm.model.tig082700000153.39
ko01110,evm.model.tig082700000153.39
ko00071,evm.model.tig082700000153.39
ko01100,evm.model.tig082700000153.39
ko03320,evm.model.tig082700000153.39
ko04936,evm.model.tig082700000153.39
ko00280,evm.model.tig082700000153.39
ko01212,evm.model.tig082700000020.323
ko01110,evm.model.tig082700000020.323
ko00071,evm.model.tig082700000020.323
ko01100,evm.model.tig082700000020.323
ko03320,evm.model.tig082700000020.323
ko04936,evm.model.tig082700000020.323
ko00280,evm.model.tig082700000020.323
ko01212,evm.model.tig082700000134.152
ko01110,evm.model.tig082700000134.152
ko00071,evm.model.tig082700000134.152
ko01100,evm.model.tig082700000134.152
ko03320,evm.model.tig082700000134.152
ko04936,evm.model.tig082700000134.152
ko00280,evm.model.tig082700000134.152
ko00310,evm.model.tig082700000221.40
ko00071,evm.model.tig082700000221.40
ko01120,evm.model.tig082700000221.40
ko00362,evm.model.tig082700000221.40
ko01100,evm.model.tig082700000221.40
ko01110,evm.model.tig082700000221.40
ko00380,evm.model.tig082700000221.40
ko01100,evm.model.tig082700000175.118
ko00280,evm.model.tig082700000175.118
ko00240,evm.model.tig082700000187.75
ko01100,evm.model.tig082700000187.75
ko01240,evm.model.tig082700000187.75
ko00910,evm.model.tig082700000392.3
ko04217,evm.model.tig082700000392.3
ko00250,evm.model.tig082700000392.3
ko01200,evm.model.tig082700000392.3
ko00220,evm.model.tig082700000392.3
ko04964,evm.model.tig082700000392.3
ko01120,evm.model.tig082700000392.3
ko01100,evm.model.tig082700000392.3
ko00910,evm.model.tig082700000251.12
ko04217,evm.model.tig082700000251.12
ko00250,evm.model.tig082700000251.12
ko01200,evm.model.tig082700000251.12
ko00220,evm.model.tig082700000251.12
ko04964,evm.model.tig082700000251.12
ko01120,evm.model.tig082700000251.12
ko01100,evm.model.tig082700000251.12
ko00910,evm.model.tig082700000251.13
ko04217,evm.model.tig082700000251.13
ko00250,evm.model.tig082700000251.13
ko01200,evm.model.tig082700000251.13
ko00220,evm.model.tig082700000251.13
ko04964,evm.model.tig082700000251.13
ko01120,evm.model.tig082700000251.13
ko01100,evm.model.tig082700000251.13
ko00220,evm.model.tig082700000075.266
ko01100,evm.model.tig082700000075.266
ko00250,evm.model.tig082700000075.266
ko00910,evm.model.tig082700000075.266
ko01120,evm.model.tig082700000075.266
ko00220,evm.model.tig082700000139.168
ko01100,evm.model.tig082700000139.168
ko00250,evm.model.tig082700000139.168
ko00910,evm.model.tig082700000139.168
ko01120,evm.model.tig082700000139.168
ko00220,evm.model.tig082700000075.244
ko01100,evm.model.tig082700000075.244
ko00250,evm.model.tig082700000075.244
ko00910,evm.model.tig082700000075.244
ko01120,evm.model.tig082700000075.244
ko00220,evm.model.tig082700000075.264
ko01100,evm.model.tig082700000075.264
ko00250,evm.model.tig082700000075.264
ko00910,evm.model.tig082700000075.264
ko01120,evm.model.tig082700000075.264
ko00220,evm.model.tig082700000139.167
ko01100,evm.model.tig082700000139.167
ko00250,evm.model.tig082700000139.167
ko00910,evm.model.tig082700000139.167
ko01120,evm.model.tig082700000139.167
ko05031,evm.model.tig082700002120.91
ko05030,evm.model.tig082700002120.91
ko04728,evm.model.tig082700002120.91
ko00260,evm.model.tig082700002120.91
